Year,Current_Account_Percent_GDP
2005,-2.66382240513017
2006,-5.29942775531871
2007,-4.33041626176129
2008,-9.54319542329735
2009,-0.510385718302903
2010,-1.83339432034317
2011,-6.81209765536977
2012,-5.69099818625964
2013,-3.3004682319038
2014,-2.40840557987842
2015,-2.21267766202146
2016,-1.9799949250478
2017,-2.44676435306533
2018,-2.96352841915778
2019,-2.07126631371234
2020,-1.40761494671391
2021,-3.70866603778748
2022,-1.95359411175867
2023,1.71904084626906
2024,1.21846968715026
