Year,Trade_Balance
2005,-2179492537.31343
2006,-3110580992.6895
2007,-3356826499.54734
2008,-5572122515.48947
2009,-2731111337.17134
2015,-6067962244.65068
2016,-6004663555.81712
2017,-6315206101.58595
2018,-6533012704.85254
2019,-5142756455.86767
2020,-5206742613.44728
2021,-6540800573.15354
2022,-2642073993.54976
2023,-1806559058.60418
2024,-2597644514.30847
