Year,Government_Spending_Percent_GDP
2005,20.1959652345785
2006,21.1477261899901
2007,20.0467042670386
2008,19.2117908296268
2009,20.9584196862527
2010,16.3008487441516
2011,15.5785036231068
2012,15.0683571124812
2013,14.1567195342154
2014,14.203291823048
2015,17.0880556546828
2016,15.6608133524657
2017,15.3308825075313
2018,15.2847949273464
2019,15.9340645141306
2020,19.0691715859524
2021,17.4670693340871
2022,15.7428689340544
2023,18.1135068059197
