Year,GDP_Growth
2005,6.24174804376447
2006,7.66829190107919
2007,6.79682611892866
2008,5.95008814473897
2009,3.53891205317842
2010,8.01596737055139
2011,8.6694830119314
2012,8.63218137662685
2013,4.05174633027869
2014,6.3779788972687
2015,4.20595547449241
2016,5.05362488994436
2017,6.46068127065753
2018,2.31008425545845
2019,-0.220483886831275
2020,-4.62451503749502
2021,4.2074764951157
2022,-7.34919301306745
2023,-2.3298481898334
2024,5.00871930957159
