Year,Government_Debt_Percent_GDP
2005,90.6049131149854
2006,88.6994841221229
2007,84.9944169483341
2009,86.063491912486
2010,69.2530251841806
2011,68.5257394056158
2012,66.747235367113
2013,68.3536165599981
2014,68.5910423357715
2015,73.5126591624451
